Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength
66.0,1.0,1.0,3425.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464
71.0,1.0,6.0,3412.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464
32.0,1.0,15.0,2741.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464
53.0,3.0,2.0,1363.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464
42.0,3.0,1.0,946.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464
78.0,4.0,18.0,779.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464
27.0,4.0,14.0,463.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464
19.0,4.0,16.0,342.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464
42.0,1.0,11.0,3118.0,7.0,3.0,-7.0,-0.0579264296982367,-0.1254975692627722
28.0,2.0,2.0,2700.0,7.0,3.0,-18.0,-0.0579264296982367,-0.1254975692627722
64.0,2.0,7.0,2243.0,7.0,3.0,-18.0,-0.0579264296982367,-0.1254975692627722
79.0,3.0,22.0,1002.0,7.0,2.0,-1.0,-0.0579264296982367,-0.1254975692627722
31.0,4.0,11.0,683.0,7.0,2.0,-1.0,-0.0579264296982367,-0.1254975692627722
23.0,4.0,7.0,177.0,7.0,0.0,2.0,-0.0579264296982367,-0.1254975692627722
51.0,1.0,9.0,3497.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609
61.0,1.0,19.0,3485.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609
66.0,1.0,24.0,3482.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609
86.0,1.0,2.0,3241.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609
25.0,2.0,5.0,2471.0,8.0,3.0,7.0,-0.0579264296982367,0.0197810534638609
75.0,2.0,8.0,2160.0,8.0,2.0,10.0,-0.0579264296982367,0.0197810534638609
39.0,2.0,8.0,1805.0,8.0,0.0,3.0,-0.0579264296982367,0.0197810534638609
19.0,3.0,5.0,1524.0,8.0,3.0,6.0,-0.0579264296982367,0.0197810534638609
78.0,3.0,13.0,1113.0,8.0,3.0,2.0,-0.0579264296982367,0.0197810534638609
66.0,4.0,3.0,725.0,8.0,3.0,2.0,-0.0579264296982367,0.0197810534638609
49.0,4.0,2.0,134.0,8.0,0.0,-1.0,-0.0579264296982367,0.0197810534638609
35.0,4.0,1.0,67.0,8.0,0.0,-1.0,-0.0579264296982367,0.0197810534638609
67.0,1.0,13.0,3337.0,2.0,3.0,0.0,-0.0579264296982367,-0.0281221607247085
79.0,1.0,2.0,3118.0,2.0,3.0,0.0,-0.0579264296982367,-0.0281221607247085
