season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,1,ARI,REG,NO,21,29,163,2,0,5,-33,0,0,166,100,11,1.5247993258601382,-1.733811045515126,0,27,146,0,0,0,6,1.1585398027950686,0,21,29,163,2,0,0,166,100,11,8.777653060046058,0,0,36,2,36,3,10,0,1.0,6.0,2,0,0,10,0,0,0,0,0,0,0,0,0,9,54,0,3,30,3,73,2,3,0,1,50.0,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,0,0,42;50,,46,92,0,46,2,2,0,0,1.0,0,0,0,0,0
2025,1,ATL,REG,TB,27,42,298,1,0,1,-9,0,0,288,189,16,9.624095207309598,-5.938342639378139,0,28,69,1,1,0,6,-5.7664944543503225,0,27,42,298,1,0,0,288,189,16,11.561699483822387,0,0,27,1,25,2,3,0,1.0,8.0,3,0,0,7,0,0,0,0,1,2,0,0,0,8,55,6,2,29,5,125,2,3,1,0,41.0,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,41;36,44,,77,44,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,BAL,REG,BUF,14,19,209,2,0,2,-15,0,0,173,109,8,8.798420577786704,8.720899255652176,0,29,238,3,2,1,10,10.486514349619986,0,14,19,209,2,0,0,173,109,8,12.064603814273141,0,0,51,2,22,3,8,1,1.0,5.0,3,0,0,4,0,0,0,0,1,1,0,0,0,7,51,5,1,6,6,167,2,2,0,0,52.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,52;49,,,101,0,0,4,5,1,0,0.8,0,0,0,0,0
2025,1,BUF,REG,BAL,33,46,394,2,0,1,-5,0,0,400,148,19,14.233714385272462,8.594318959448072,0,31,108,3,0,0,9,1.9875707046617141,0,33,45,394,2,1,0,400,148,19,15.712535529682638,0,0,44,0,8,5,45,2,2.0,15.0,4,0,0,1,0,0,0,0,0,0,1,1,0,5,38,6,1,0,7,193,3,3,0,0,43.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,25;43;32,,,100,0,0,2,2,0,0,1.0,1,1,0,0,32
2025,1,CAR,REG,JAX,18,35,154,1,2,1,-12,0,0,269,60,8,-15.40268957134174,-12.371582757024203,0,25,113,0,1,1,5,0.019907066074665636,0,18,34,154,1,0,0,269,60,8,-11.740281144413872,0,0,42,0,20,1,2,0,0.0,0.0,1,1,10,4,0,0,0,0,0,0,0,0,0,4,35,6,2,0,2,43,1,1,0,0,48.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,48,,,48,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,CHI,REG,MIN,21,35,210,1,0,2,-12,0,0,263,77,10,-6.988247807139811,-6.66688496575636,0,26,119,1,0,0,7,2.5311888938449556,0,21,34,210,1,0,0,263,77,10,-2.970347229830037,0,0,34,4,22,6,15,0,3.0,9.0,5,1,74,5,1,0,0,0,0,0,0,0,0,12,127,5,4,37,4,125,1,2,1,0,42.0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,42,50,,42,50,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,CIN,REG,CLE,14,23,113,1,0,3,-18,0,0,169,49,7,-0.3315927372285721,-1.9334077835083008,0,23,46,1,0,0,3,-5.00294650052092,0,14,23,113,1,0,0,169,49,7,2.8524588360479477,0,0,36,8,42,4,16,0,2.0,12.0,5,2,9,6,0,0,0,0,0,0,0,0,0,7,33,5,1,23,3,70,1,1,0,0,35.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,CLE,REG,CIN,31,45,290,1,2,2,-12,0,0,273,173,13,-1.8421275162300694,2.374263036818731,0,24,49,1,0,0,5,-1.7932241758680902,0,31,42,290,1,0,0,273,173,13,2.4569541283417493,0,0,31,4,22,8,30,0,3.0,18.0,7,0,0,5,0,0,0,0,0,0,0,0,0,7,53,4,3,41,4,105,1,2,1,0,45.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,45,36,,45,36,0,1,2,1,0,0.5,0,0,0,0,0
2025,1,DAL,REG,PHI,21,34,188,0,0,0,0,0,0,329,75,9,1.6543752712656965,0.17288182720993506,0,22,119,2,1,1,8,0.7568821354070678,0,21,33,188,0,0,0,329,75,9,1.1834143474010785,0,0,36,2,32,5,15,0,1.0,8.0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,42,6,0,0,5,101,2,2,0,0,53.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,41;53,,,94,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,DEN,REG,TEN,25,40,176,1,2,1,-10,1,1,213,94,9,-7.6557667409744266,-1.6720025120554745,0,30,151,1,0,0,5,-4.498567477625329,0,25,37,176,1,0,0,213,94,9,-0.2731785637535302,0,0,30,6,26,7,51,2,6.0,50.0,14,0,0,4,0,1,0,0,0,0,2,2,0,6,45,4,4,47,3,82,2,2,0,0,39.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,39;33,,,72,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,DET,REG,GB,31,39,225,1,1,4,-25,0,0,163,121,13,1.3743778578947285,11.339418903777474,0,22,46,0,0,0,2,-5.360156191396527,0,31,38,225,1,0,0,163,121,13,9.983375240642204,0,0,32,2,18,2,2,0,0.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,40,2,2,19,5,116,2,2,0,0,30.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,30;27,,,57,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,GB,REG,DET,16,22,188,2,0,0,0,0,0,253,39,8,10.06529425203067,13.074940307573838,0,25,78,1,0,0,4,-2.4207472687050577,0,16,22,188,2,0,0,253,39,8,10.06529425203067,0,0,38,5,41,9,32,0,4.0,25.0,9,1,0,2,0,0,0,0,0,0,0,0,0,4,40,3,3,32,2,39,2,2,0,0,38.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,34;38,,,72,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,HOU,REG,LA,19,27,188,0,1,3,-37,0,0,172,73,7,-4.065033344958763,-0.9746561447779337,0,27,114,0,0,0,8,1.0518964720943282,0,19,27,188,0,1,1,172,73,7,-2.531756629289102,0,0,35,3,23,5,42,1,3.0,21.0,6,0,0,1,0,0,0,0,0,0,1,1,0,11,80,4,2,20,1,11,3,3,0,0,53.0,1.0,0,0,0,1,2,0,0,0,0,0,0,0,51;45;53,,,149,0,0,0,0,0,0,,0,0,0,0,0
2025,1,IND,REG,MIA,22,29,272,1,0,1,-10,0,0,196,112,14,12.997713351082982,5.388343025898111,0,40,156,2,0,0,11,5.522064567154631,0,22,29,272,1,0,0,196,112,14,14.719911895618768,0,0,26,2,24,4,16,1,3.0,13.0,6,2,20,5,0,0,0,0,0,0,1,1,0,4,45,3,0,0,1,27,4,4,0,0,48.0,1.0,0,2,1,1,0,0,0,0,0,0,0,0,24;35;28;48,,,135,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,JAX,REG,CAR,19,31,178,1,1,0,0,0,0,223,80,9,1.3131129483738126,-4.054062428145573,0,32,200,1,0,0,11,6.58218051100444,0,19,29,178,1,0,0,223,80,9,3.1981941133201266,0,0,29,0,32,2,13,1,1.0,12.0,5,2,0,9,0,0,0,0,0,0,1,1,0,11,93,3,1,7,2,32,4,4,0,0,47.0,1.0,0,1,2,1,0,0,0,0,0,0,0,0,35;47;36;28,,,146,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,KC,REG,LAC,24,39,258,1,0,2,-9,0,0,271,116,9,3.4485526789862906,-5.99277631232613,0,17,98,1,0,0,8,8.906440938299056,0,24,38,258,1,0,0,271,116,9,5.570109220078015,0,0,40,2,18,6,17,1,3.0,14.0,4,0,0,2,0,0,0,0,1,1,0,0,0,10,71,6,2,7,5,147,3,3,0,0,59.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,35;59;27,,,121,0,0,0,1,1,0,0.0,0,0,0,0,0
2025,1,LA,REG,HOU,21,29,245,1,0,3,-21,0,0,226,68,13,6.090108856966253,5.381516899381365,0,25,72,1,1,0,4,-6.282822540670168,0,21,28,245,1,1,1,226,68,13,9.375737025227863,0,0,38,2,26,3,37,1,3.0,37.0,7,1,0,4,0,0,0,0,1,2,1,1,0,7,60,2,2,21,2,60,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,LAC,REG,KC,25,34,318,3,0,3,-14,0,0,342,134,16,17.567262160454625,5.788767951376298,0,25,90,0,0,0,6,-0.23139648232954402,0,25,34,318,3,1,0,342,134,16,21.656591976273553,0,0,36,0,24,3,10,0,2.0,9.0,8,0,0,4,0,0,0,0,0,0,0,0,0,6,49,1,0,0,3,67,2,2,0,0,39.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,39;36,,,75,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,LV,REG,NE,24,34,362,1,1,4,-29,0,0,350,140,17,14.945327814546477,9.620190027988318,0,24,56,1,0,0,3,-7.367797683403163,0,24,33,362,1,0,0,350,140,17,20.02049292654674,0,0,40,2,34,6,18,1,4.0,11.0,9,1,0,4,0,0,0,0,0,0,0,0,0,9,77,5,1,13,3,96,2,3,1,0,51.0,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0,51;40,58,,91,58,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,MIA,REG,IND,19,31,146,1,2,3,-13,1,1,234,79,9,-16.14256922087213,-6.79955453641953,1,12,78,0,0,0,3,4.07183802803047,0,19,31,146,1,0,0,234,79,9,-7.430538102882449,1,0,44,3,35,4,17,0,1.0,10.0,2,0,0,4,0,0,0,0,0,0,0,0,0,3,15,5,0,0,7,169,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,1,MIN,REG,CHI,13,20,143,2,1,3,-9,0,0,117,68,5,-9.816290898994502,-3.2609406113624573,1,26,120,1,0,0,6,0.7950888272025622,0,13,20,143,2,0,0,117,68,5,-4.715521290014457,1,0,40,1,25,6,23,1,2.0,12.0,3,0,0,3,0,0,0,0,0,0,1,1,0,8,50,5,4,68,5,133,2,2,0,0,59.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,31;59,,,90,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NE,REG,LV,30,46,287,1,1,4,-11,1,0,353,114,15,-0.32563244291394744,2.388444874021742,0,18,60,0,0,0,2,-4.167519669630565,0,30,45,287,1,0,0,353,114,15,5.518519192161765,0,0,35,6,30,10,30,0,4.0,29.0,9,1,1,5,0,0,0,0,1,1,0,0,0,8,70,5,2,16,4,111,2,3,1,0,44.0,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,35;44,40,,79,40,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NO,REG,ARI,27,46,214,0,0,1,-6,0,0,336,85,12,-3.9408611252955135,-4.9585028392512625,0,22,107,1,0,0,5,0.8023695741139818,0,27,41,214,0,0,0,336,85,12,2.3620505969803807,0,0,42,1,27,7,36,0,5.0,33.0,5,0,0,5,0,0,0,0,0,0,0,0,0,13,89,3,2,18,5,128,2,3,1,0,36.0,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,36;28,37,,64,37,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,NYG,REG,WAS,17,37,168,0,0,2,-11,0,0,226,84,9,-11.39383654077999,-13.457901123911142,0,23,74,0,1,0,4,-3.555864180030767,0,17,32,168,0,0,0,226,84,9,-4.414557021158243,0,0,31,1,39,3,14,0,3.0,21.0,5,0,0,3,0,0,0,0,1,1,0,0,0,6,35,5,3,24,2,41,2,2,0,0,55.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,21;55,,,76,0,0,0,0,0,0,,0,0,0,0,0
2025,1,NYJ,REG,PIT,16,22,218,1,0,1,-6,0,0,169,76,9,10.05393822364579,10.396403358096169,0,39,182,3,0,0,13,3.5124690002818104,0,16,21,218,1,0,0,169,76,9,12.384196756276769,0,0,33,0,30,7,34,2,4.0,26.0,7,0,0,4,0,0,0,0,0,0,0,0,0,7,74,4,2,19,7,206,2,2,0,0,51.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,35;51,,,86,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,1,PHI,REG,DAL,19,23,152,0,0,1,-8,0,0,112,61,6,1.5907520360172063,21.806308776140213,0,38,158,3,0,0,14,6.04487540962873,0,19,20,152,0,0,0,112,61,6,5.758010305403572,0,0,32,2,26,3,8,1,0.0,0.0,1,0,0,6,0,0,0,0,0,0,1,1,0,9,110,3,0,0,2,32,1,1,0,0,58.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,1,PIT,REG,NYJ,22,30,244,4,0,4,-26,0,0,139,173,14,10.20475524963341,6.350380901632638,0,20,53,0,1,0,2,-3.0508692141156644,0,22,29,244,4,0,0,139,173,14,16.357469686740032,0,0,45,5,25,6,20,1,1.0,6.0,6,0,0,4,0,0,0,0,2,2,1,1,0,4,26,4,0,0,6,165,2,2,0,0,60.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,56;60,,,116,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,1,SEA,REG,SF,16,23,150,0,0,1,-4,1,1,197,47,7,-6.831034911036733,7.339647954160517,0,26,84,1,0,0,6,-2.973436875258346,0,16,22,150,0,2,1,197,47,7,-5.419835606412272,0,0,43,4,38,7,22,0,1.0,12.0,8,2,7,4,0,0,0,8,0,0,0,0,0,4,30,5,1,12,2,59,2,2,0,0,48.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,48;37,,,85,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,1,SF,REG,SEA,26,35,277,2,2,1,-12,0,0,260,121,15,13.329884157278123,15.341458162840675,0,36,119,0,0,0,7,-5.458840667270124,0,26,34,277,2,0,0,260,121,15,16.50143826356578,0,0,36,1,19,7,21,2,1.0,4.0,2,0,0,3,0,1,0,0,1,1,2,2,0,9,61,2,4,39,2,40,1,3,1,1,32.0,0.3333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,32,27,36,32,27,36,2,2,0,0,1.0,0,0,0,0,0
